,평점,일시,감상평
36,10,2017.03.17 15:43,오랜만에 힐링됫던 최고의영화 꼭보세요.. 신선한소재와 아름다운 배경의 조화.. 좋은영화만들어주셔서 감사합니다!! 가드너는 사랑입니다..♡
37,10,2017.03.16 16:56,요즘 날씨와 잘 어울리는 기분좋아지는 영화네요:)
38,10,2017.03.16 19:45,에이사 버터필드 페레그린 때도 좋았는데 이번에도 좋았음!
39,8,2017.03.29 17:26,"기대이상으로 즐겁게 잘 봤다. 도입부 게리 올드맨의 연기가 좋았고, 남주의 연기도 나름 좋았다. 하지만 차를 3번 훔치는 동안 한 번도 경찰의 추적을 받지 않다니..."
40,7,2017.03.23 21:43,이런 영화에 고증은 상관없는데 전개가 넘 빠름 감정선이 부족함.
41,10,2017.03.16 23:05,정말 기다리던 영화였는데 오늘 개봉한 날 친구랑 같이 봤어요 정말 재미있었고 갑자기 급전개인건 놀랐지만 남주여주도 너무 이쁘고..?남주 외모에 반했습니다!
42,8,2019.01.12 05:27,멜로물은 안좋아하지만 재밌게 봤다.단지 여배우가 실제로도 나이가 많아서 전혀 10대로 안보이는 바람에 몰입도가 떨어졌다. 만약 10대 여배우나 좀 더 어려보이는 여배우였다면 더 재밌었을거 같았다.
43,3,2017.03.27 14:13,Sf를 가장한 막장하이틴 드라마~~  아 스토리 그지같다.
44,2,2017.03.25 17:40,아이들 수준에 맞춘 어린이 영화.
45,9,2017.03.17 23:13,금방 보고 왔는데 지구에서 사는 일이 단조롭게 느껴지시는 분들 추천드려요 ~~볼만 했어요!
46,10,2017.03.17 14:06,말이 필요 없음 스토리도 그렇고 음악도 그렇고 전부 좋다
47,9,2017.03.19 17:13,나만 펑펑 울었다ㅜㅜㅜ  .  남주 잘생김!!
48,5,2017.03.19 01:05,시사회로 보고왔어요. 남주가 정말 사랑스럽게 나옵니다. 진짜 화성에서 태어났을법한... 소재도 신선해요. 다만 감독이 이걸 잘 풀어내지 못했어요. 많은걸 보여주고 싶어했지만 뭐 하나 확실하게 해낸건 없다는 느낌을 받았어요.돈주고 보면 많이 아까웠을듯. 
49,2,2017.09.21 23:21,유치하다 남자주인공 얼굴빼고는 볼게 없었던 영화ㅠ 뻔하고 뻔한 내용의 연속이다 전혀 sf아님ㅎㅎㅎ
50,6,2017.03.31 06:57,굳이 안 알려줘서 사서 고생...
51,6,2017.03.28 11:39,그럭저럭 볼 수 있는 영화
52,10,2017.03.18 10:16,좀 급전개가 있긴했지만 너무 재밌었어요!
53,10,2017.03.17 13:02,sf를 기대하면 실망할 수도있지만 그위에 펼쳐지는 로맨스를 본다면 흐뭇하게 보고있는 나자신을 발견할수있음
54,1,2017.04.08 23:26,아아 짜증난다....내 돈 ㅅㅂ
55,8,2017.03.20 16:52,노래 영상미가 좋았던~
56,7,2017.03.17 23:03,밸루... 영화관에서 볼 정도는 아니라고 생각이 드네요.몰입도 떨어지고.. 좋았던 건.. 남주의 훌륭한 외모와 영상미.그 외는 음슴. 갠적 생각입니다아.
57,10,2017.03.16 09:25,캬 이거 죽이네..ㅎㅎㅎ
58,10,2018.03.16 02:22,지구를 갈망했던 소년은 결국 누군가의 지구였다
59,1,2017.04.02 17:17,개 노잼 막장 하이틴 로맨스. 진짜 뻔하고 진짜 유치하다....
60,5,2017.03.19 01:58,초반부만 흥미로웠던 미국판 막장 하이틴!
61,2,2017.03.19 01:16,소재는 좋았지만 많은 것을 넣으려고 하다보니 뭘 말하고 싶은건지 모르겠네요.. 너무 기대하고 봐서 그런지 실망이 컸습니다ㅠ
62,10,2020.02.05 22:41,소재가 신선하고 스토리도 짜임새 있어요ㅎㅎ 잘 만든 영화입니다. 잔잔한거 못보는 분들한테는 호불호가 갈릴 것 같네요. 영화배경도 아름다워서 보는 맛이 있어요. 웜바디스가 생각나는 영화예요
63,10,2018.09.07 17:09,난 이거보고 울었다 펑펑울었다 안울수가없었다 젠장
64,10,2018.06.04 04:12, 이거 진짜 꼭 보세요  진짜 대박이에용 ㅜㅜ  완전 힐링 되는  수퍼 힐링 로맨스  진짜 신기 했던건  진행이 얼마나 빠르고 자연스러운지 도대체 시간이 언제 간지도 모르고 봤구요  단 일초도 지루할 틈이 없는 완벽한 영화에요  ㅠㅠ  배우도완벽 
65,5,2018.03.16 01:25,"소재, ost, 화면, 배우들까지 모두 다 좋았지만, 스토리 구성이 너무 복잡하고 가볍게 느껴져 모든게 다 아까울 정도였다. 좀 더 잘만들지...흡사 자동차 선전같았다."
66,9,2018.02.22 11:40,취향저격~생각했던거 보다 훨씬 재밌게 봤음~
67,8,2018.01.24 02:08,지구와 사랑에 대해서 알려주는 영화 계속해서 나오는 풍경들은 지구를 더욱 사랑하게 만들고 남자 주인공은 우리를 더욱 솔직하게 행복하게 살 수 있도록 가르쳐주고 있다. 이 영화는 주인공의 특별한 설정 속에서 우리의 소중함을 일깨워준다. 
68,10,2017.11.24 21:50,"이 영화의 주연 에이사가 '화성 소년' 이라는 이미지를 너무 잘. 표현한 것 같다.마무리가 열린 결말이라 좀 아쉽지만,배우들 연기랑 표정이 다한 영화."
69,8,2017.09.19 17:10,가드너 연기도 좋았고 훈남..키도 크네..? 사실 화성이나 우주는 그저 배경일뿐.. SF인줄 알고 봤지만 멜로였던... 그래도 소재는 신선했던 것 같다. 화성에서의 출산.. 과학자들 손에 키워진 아이.
70,1,2017.08.23 00:37,애들이 중2병 질병 수준  영화도 수준이하
71,3,2017.05.13 01:04,더럽게 재미없네 ㅎㅎㅎ
72,8,2017.04.09 00:28,특이한 스토리와 남주의 좋은연기가 인상적이었음
73,7,2017.03.30 21:28,"""넌 지구에서 가장 좋은 게 뭐니?""""그건..당연히 너!""...라고 말해줄 누군가가 옆에 있었으면"
74,10,2017.03.30 19:55,간만에 걸작을 보았다 이런게 진짜 영화인거 같다 ㄷㄷㄷ
75,7,2017.03.27 23:27,스토리가 후반으로 갈수록 아쉬운 부분이 있지만 영상미도 있고  재미있는 영화다.
76,5,2017.03.26 01:42,뭐랄까 남주 눈망울과 여주 노랫소리만 기억난다요내용이 산으로 가다가 엔딩은 그나마 괜찮은 듯
77,7,2017.03.21 21:41,영상미에 감탄했어요 그리고 늘어지지 않는 스토리도 좋았고요~ 가드너의 대사 하나 하나가 제 마음을 울리기도 또 웃게도 만들었네요^^ 영화 잘 봤습니다
78,9,2017.03.21 01:24,"정말 감동적인 영화였다. 너무 아름다웠고 안타까웠고 그래서 더 감동적이었다. 평점 중에 어린왕자라는 얘기가 있었는데, 그 말이 정말 꼭 맞는 것 같다. 그 평가덕분에 좋은 작품을 선택할 수 있었다. 님아 고맙다. 보면서 보고나서도 행복하다. "
79,10,2017.03.20 11:45,내용이 산으로 가는 감이 있지만 재미는 있었음.
80,10,2018.03.13 14:54,남주의 비주얼만으로도 10점.힐링되었음ㅋ
