,평점,일시,감상평
197,4,2019.08.03 23:19,"보는 내내 위화감. 여주 10대 역할. 그런데 이상하게 노안임. 영화 2/3쯤 여주 이마 주름살 각인된거 확인하고 으헉 올스톱, 프로필 확인. 칼라 구기노 71년생 49세... 헐..."
198,9,2019.07.27 20:16,미국이 저렇게 예쁜가하는 경탄이 나오게 하는 영화~여주가 좀 별로긴 하다~케미가 쫌~!
199,10,2019.07.12 11:09,신선한 소재로 뻔한 스토리 였지만 남주의 푸른 눈동자 하나로 아름다운 청춘미 가득 채운 영화였다. 생각없이 보면 마음 뭉클해지고 좋음
200,7,2019.07.10 09:06,잘만들었는데 액스트라들이 지구에서 쓴마스크가 트리포드 이지브레스 스노클링 빨때만뺀 마스크 임 내가 쓰는거 ㅋㅋㅋ 것땜시 좀깨네 제작비좀더 쓰지 아오 ㅋㅋ 웃기네 영화자체는 볼만함
201,10,2019.06.30 19:37,에이사 버터필드 때문에 10점~~여주는 정말  아쉽ㅠㅠ
202,8,2019.06.24 01:30,다 좋은데 여주 캐스팅이 좀..
203,8,2019.06.23 15:32,남주가 여주보다 더 이뻐서 초반 몰입에 방해가 된게아쉬운데 소소하게 재밌었음남주의 순수한연기가 영화살림
204,4,2019.06.17 11:50,이런 허접한 스토리에 화성을 들이밀필요 있을까이건 이도저도 아닌 그저그런 영화이런 전계 너무 식상ㅈ해
205,10,2019.01.18 18:34,재밌을 것 같네 ㄹㅇ루다가
206,10,2019.01.10 11:59,진짜 현실판 어린왕자인듯 ... 주인공이 너무 순수해서 ㅋㅋㅋㅋ 난 재밋게 봣어요 ...
207,6,2019.01.10 05:47,계속 재밌게 보다가 마지막부터 전개가 이상하게 되는듯 갑자기 여친 앞에서 자살시도는 왜하냐 아임 유어 파더도 뜬금포고 이것만 빼면 완벼크
208,8,2018.12.29 22:04,오랜만에 예쁘장하고 잘생긴 남주봐서 좋았음ㅋㅋ걍 킬링타임용 영화.눈정화하고픈 사람은 보세요
209,10,2018.11.29 00:26,좋은 노래+아름다운 장면+여운남는 스토리=명작
210,7,2018.11.18 17:16,"혼자있어도 외롭고, 여럿에 둘러쌓여있어도 외롭다. 인간은 항상 외롭다. 누군가를 갈구한다. 생각을 하게 만드는 영화. 납득안가는 스토리 억지스러운 부분 빼곤 좋은 영화였다."
211,8,2018.11.16 23:23,12세ㅠ관람가라서 사촌동생이랑 보는데... 중간에 그렇고그런부분때매 당황
212,10,2018.10.21 17:42,이쁜 영화..누구나 한번쯤 봐도 시간 안아까움
213,10,2018.10.07 11:00,너무 재밌어요!(구매자)ㅋㅋㅋ
214,7,2018.09.27 18:52,뭔가 아쉽지만 볼만하네요^^;
215,10,2018.09.17 19:31,"강력 추천! 말 그대로 ‘너와 나 사이의 우주’로다. 이 영화 아주 대단해요. 그리고 반전은 아예 생각도 못했어. 감독님 센스가 아주 만점이셔요! 역대 화성을 다룬 영화 가운데 단연 최고, 브라보~!!!"
216,7,2018.07.06 22:52,우주와 멜로의 적절한 조합
217,7,2018.06.28 23:03,그동안의 우주 영화랑은 다른 이야기라서 좋았다 지구가 얼마나 아름다운지도  알게되고. 좀 더 잘 만들 수 있지않았을까라는 아쉬움은 든다 유치함과 감성사이에서 유치함쪽으로 기운것같다 그리고 10대 사랑이야기에서 남녀 주인공의 비주얼이 중요한데...아쉽다 
218,1,2018.06.28 20:23,"화성인 연기를 할려면 제대로 하던가 지구인의 ""화성인""연기를 하네"
219,5,2018.06.22 16:50,완전 아줌마 여주인공하고 어린 남주인공 하고 이거 거의 범죄수준 연예물
220,9,2018.05.19 17:56,사랑과 과학이 적절히 섞인 아름다운영화
221,10,2018.01.09 14:23,"아사버터필드 나오는 건 이제 꼭 다 영화관에서 봐야겠다는 생각을 했다. 기대없이 봤는데 정말 내 취향의 영화였음. 수려한 외모와 멋진 여주, 아름다운 영상미 최고!"
222,9,2017.12.24 00:02,제대로 다시 한 번 보면 푹 빠질듯한 영화. 버터필드 정말 페이스 멋있던데?
223,5,2017.10.04 21:35,설정에 맞춰 딱딱 들어맞게 이끌어가는 참으로 영화같은 영화
224,9,2017.09.20 14:50,정말재미있어요.♡♡
225,10,2017.09.18 00:49,"오랜만에 정말 재밌게 본 영화 감동, 재미 모두 잡아서 대성공 작품"
226,10,2017.09.17 20:55,히에 쪼아아이 러브 잇 에이사 버터필드 사랑해
227,8,2017.09.15 19:47,색다른 사랑이야기가 간절하게 다가온다
228,8,2017.09.09 01:57,"평보다 확실히 나은 영화. 우리가 상상하고 있는 그 세계를 그대로 창조해냈다. 너무나 현실적인 문제이며, 배역에 맞는 캐스팅과 연기력 모두 최고."
229,6,2017.09.03 08:12,결말이 뻔해서 슬픈영화
230,9,2017.08.28 22:45,잔잔한 요소와 로맨스 우주의 풍경과 영상미가 좋네요 간만에 좋은 영화 추천
231,7,2017.08.27 20:07,재밌엇어요. 추천해요 ^^~~
232,8,2017.08.24 02:43,전개가 썩 매끄럽진 않지만 시각적 쾌감과 잘 어울리는 배경음악. 지구에서 가장좋은 것은 역시 사랑이라는 해답.
233,9,2017.08.22 16:44,지구가 더욱 더 아름답게 보이는 것은 그기에 사랑이 있기 때문이 아닐까? 이 영화 이후로 사랑에는 국경도 없다는 말은 옛말이 되었다.
234,7,2017.08.22 08:22,근친이냐 여주가 엄마뻘이네
235,6,2017.08.15 21:30,단순한 이야기 구조에 비해 영상미와 음악은 좋다. 그래서 단순한 이야기마저도 동화같이 보인다: 현대판 어린왕자
236,9,2017.08.15 00:02,보고나서 예상밖의 감동을 받았네요. 스토리가 참신하고 좋아요~ 잔잔한 감동도 있고 예상밖의 수작 느낌!
237,7,2017.08.10 21:27,의미있게봤지만... 남녀주인공이 한컷에 있을땐 엄마랑 아들 같이 보여서 몰입이 잘 안되더라는ㅠㅠ
238,6,2017.07.30 10:24,순수하고 아름다운 영상미 알찬 구성 하지만 너무 과한 연출
239,4,2017.07.26 14:51,어린왕자 공들인 지루함~
240,6,2017.07.05 18:20,진부한 전개와 스토리에 상업적인 영화 그 이상도 이하도 아니다.
241,8,2017.06.25 04:30,적당한 멜로+적당한 sf+적당한 감동 = 적당한 평점 ㅇㅇ
242,10,2017.06.10 02:57,지금까지 본 영화중에서 가장 재미있게 보았고 끝부분에서 정말 감동있게 봤습니다. 시간이 되면 한번 보시는거 추천드립니다 :)
243,8,2017.06.06 10:42,외모 지적인지는 모르겠으나 노안인 정말 여주인공은 미스 캐스팅. 유일하게 아쉬운 점.
244,8,2017.05.28 16:12,여주인공이 조금 거슬리긴 하는데... 재밌음
245,1,2017.05.24 21:16,서양애들도 이런 막장 스토리를 만드는구나.
246,8,2017.05.22 23:32,소년의 시점에서 본 지구가 너무나 아름다웠던 영화
247,8,2017.05.20 19:27,스토리..OST..청춘들의 연기가 잘 어우러진 영화..예상치 못한 반전도 있음 그이름하야..Dad..^&^
248,8,2017.05.20 00:03,어린왕자를 본듯하다.
249,3,2017.05.16 21:32,개인적인 의견이지만 스토리 나열이 엉망이다
250,8,2017.05.16 19:08,먼 미래에 실현될지도 모르는 익스트림 장거리 연예
251,7,2017.05.15 14:24,엄마 찾아 수억만리. 또 다른 엄마의 사랑이 필요한 소녀와 함께 성장하는 드라마. 보이는 아버지를 찾고 걸은 새 엄마를 만나 꿈을 이뤄가는 마지막 장면이 뭉클.
252,10,2017.05.13 13:42,주인공 개 귀여움ㅋㅋㅋㅋ( 나 남잔데 ㅋㅋㅋ)
253,8,2017.05.11 03:09,감성적인 영화  많은 생각을 가지게 해주고 주인공 시각이 너무 재밌었습니다.
254,10,2017.04.24 10:15,에이사와 잘 어울리는 배역에 영상미도 이쁘고 가볍게 보기좋은 로맨스영화
255,8,2017.04.23 17:09,"화상에서 태어난  남주라는 소재가 참 순수하게 느껴졌고,남자 주인공의 연기가 매우 좋았지만 여자 주인공이 나올땐 좀 별로였다."
256,8,2017.04.23 09:22,우주를 모티브로 한 한 소년의 성장 이야기. 화성에서 태어난 아이가 지구로 온다는 설정도 재밌고 매력적이다. 명쾌한 스토리라인. 편안하게 즐기면 된다.
257,8,2017.04.23 04:57,생각보다 신선했습니다
258,9,2017.04.21 17:10,솔직히 재미는 있었음. 근데 주연 여자와 가드너의 몇몇 행동이 내 관점으로는 이해가 되지않았음
259,8,2017.04.20 21:32,"우주 소재는 항상 신선한 것 같습니다. 뒤로 갈수록 막장 전개에 반전도 심하지만, 시간 날렸다는 생각은 들지 않네요."
260,5,2017.04.20 15:24,해피앤딩 10대 로맨스영화
261,9,2017.04.20 01:09,큰재미 보단 잔잔하고 따뜻하다.
262,7,2017.04.19 19:55,에이사 버터필드와 브릿 로버트슨 팬이라 재미있게는 봤는데...스토리가 좀....
263,9,2017.04.17 13:40,헐 몽달귀신이 아니었네 쉐키 운이 좋아
264,7,2017.04.17 09:32,7.5점 SF 청춘 드라마
265,7,2017.04.16 21:37,대단한 상상력 괜찮은 연출. ET를 봤던 어린 시절의 그 느낌.
266,10,2017.04.16 14:04,에이사 존잘 근데 뭔가나중에  아빠 밝혀졌을떄 읭 했음
267,7,2017.04.12 22:08,나쁘지 않았지만 그렇다고 명작은 아니였다..
268,10,2017.04.11 07:47,잔잔하고 재미있었어요~ 시사회로 본거지만 돈을 주고 봐도 아깝지 않네요
269,10,2017.04.10 18:17,미국만 가능한 영화...ㅎㅎ
270,9,2017.04.03 23:16,"주인공 소년이 소녀와의 감성전달이 뚜렷이 나타나게  연기를 잘했고, 전체적인 흐름이 지루하지 않고  몰입도가 꽤 있었음."
271,10,2017.04.02 04:34,SPACE BETWEEN US !
272,8,2017.04.02 00:24,보는내내 남주 걱정되서 마음 쫄깃함둘이 너무 애틋함여주가 남주에 비해 너무성숙한거같아둘이 캐미가 좀 글긴함
273,9,2017.04.01 17:18,좋다♥♥♥♥ 역시 믿고보는 아사버터필드♥
274,8,2017.04.01 01:42,"유치한 애들 사랑놀음이라 생각할수도 있지만, 잔잔한 감동도 있고 생각보다 볼만했습니다."
275,9,2017.03.31 23:19,무모한 여행을 꿈꾸게 해줬다
276,10,2017.03.31 21:42,감성 SF 짠했다. 스토리 설정 좋았고 배우들 연기도 일품이였다. 엔딩도 좋았다. 아마도 가까운 미래의 우리 인류의 모습일 것이다.
277,7,2017.03.31 12:04,새로운 소재라 독특하네요
278,10,2017.03.31 10:30,우주영화계의 한 획을 그을만한 영화
279,10,2017.03.30 18:36,"영상미도 음악도 괜찮았습니다. 그래픽도 사실적이고 설정도 억지스럽지도 않았으나, 두 주인공의 나이 설정이...? 그래도 재밌게 관람했습니다."
280,4,2017.03.30 17:45,진작에 Im your father 한마디면 될 것을.. 그런 아버지 찾으러 가다가 사랑을 찾아서 끝..
281,10,2017.03.30 04:11,감사합니다잘봤습니다
282,10,2017.03.30 02:04,너는 내 첫사랑! 끝사랑!
283,9,2017.03.30 00:22,유치했고 어딘지모르게 막장스러웠지만그런것을 조아하는 나로서는 굉장히 재미있었다ㅋㅋㅋ두번볼거다...지구의 장점은 rain~!! 가장 생각나는 대사였고 그 이후에 비오면 새로운 마음으로 보게되었음..9점인 이유는 여주가 남주에비해 넘나리 삭았다ㅠ0ㅠ!! 
284,9,2017.03.29 01:40,"내가 결혼을 결심했던,이세상 그무엇보다 더 소중했던, 첫사랑을 만났던게 16살일때인만큼 배경, 상황은 다르지만 그누구보다 절실히 와닿았고 공감하며 보는내내 펑펑 울었다.. 신선함속의 절대적인 공감..누구라도 절실하고 진정한 사랑을 해봤다면 공감했을거다 "
285,8,2017.03.29 00:35,청소년 로맨틱 영화 배경을 우주로 넓혔다고 해야하나..^^ OST배경음악이 좋았어요. 멋진 풍경도 좋았구요.
286,10,2017.03.28 19:19,재미난다재미난다너므재미난다
287,8,2017.03.28 12:43,"너무 순수해서 눈물이 났어요 ㅠ 영상미,음악,남주인공,반전까지 버릴게 없네요. 살짝살짝 비현실적인 부분은 아쉽지만 영화라고 생각하고 집중해서 보니 2시간 금방~"
288,8,2017.03.28 11:43,아이가 좋아해서 봤네요. 우주영화의 새로운 관점!!
289,8,2017.03.28 00:54,이젠 동화같은 로맨스도 SF다!!! 참신한 소재 ^^
290,9,2017.03.27 21:03,화성인이 지구인을 사랑했어요.:
291,10,2017.03.27 20:50,좋은 사람과 사는 것이 삶이다. 딱~좋~아~~~!!!
292,9,2017.03.27 19:49,짧은 시간에 내가 안해본걸 저리도 많이 해보다니.. 정말 인생 헛살았다 싶다. 밤하늘의 별을 이불삼아 사랑하는 연인과 함께하는 밤은 정말 부럽다.넌 지구에서 가장 좋아하는게 뭐야? 놀라운 경치도 음식도 좋지만 가장 좋은건 사랑하는 사람이겠지.. 
293,8,2017.03.27 13:44,Sf는아니고멜로임 그냥볼만함
294,9,2017.03.27 02:37,눈물이 넘 많이 나옴..ㅠ
295,10,2017.03.26 23:12,7점정도가 적당한 평점인듯. 약간의 막장끼가 다운하다.
296,10,2017.03.26 17:11,신선하다는 다른 평이 와닿네요.. 헐리웃이 아니면 만들수가 없죠.. 슬픈현실
297,10,2017.03.26 16:10,"별 볼일 없던 인생에 채팅으로 만난 남친이 알고보니 대기업 사장 아들, 그를 진심으로 위하는 모습이 간부의 눈에 들어 신부 수업을 받게 되는 훈훈한 스토리"
298,9,2017.03.26 14:22,화성에서 온 어린 왕자가 보낸 캘리포니아의 휴일~
299,8,2017.03.26 13:13,해피엔딩이어서 참 다행이야~~ㅋㅋ
300,8,2017.03.26 11:41,약간은 다른 스타일이면서 잘 만들어진 스페이스 오페라 한 편 ..
301,7,2017.03.26 10:08,10대 가족영화로 보기에 딱 좋은듯
302,7,2017.03.26 00:10,따뜻한 우주소년 성장 로맨스
303,10,2017.03.25 21:46,여기서 sf와 현실성을 찾는 사람들은 뭘까요?Sf 보고싶으면 인터스텔라 보면 될텐데
304,10,2017.03.25 21:24,정말 로맨틱하고 수수하고 우주적인 요소가 더해저 내용도 신선하고 배경.음악.연출이 뛰어나다고 생각되네요 스토리도 너무 흥미진진하고 마지막 순간까지 눈을땔수가 없엇네요 인생작중 하나가 될듯하네요
305,10,2017.03.25 19:17,♥너무조음!!설레뮤ㅜ
306,8,2017.03.25 13:41,"잼있게 봤어요.그냥 볼만한.,.,"
307,7,2017.03.25 11:51,우주와 로맨스를 한데 모으다
308,8,2017.03.25 11:21,막 웃기게 재밌진않지만 그냥 평범한 로맨스영화였어요
309,9,2017.03.25 10:15,액션을 좋아하는 사람입니다 왳이영화가 너무 재밌곺 행복한가욥
310,10,2017.03.23 21:15,진짜 너무 좋은 영화였어요!!!
311,9,2017.03.23 16:36,완전 재밌음!!!!ㅠ
312,9,2017.03.23 10:13,반전도 살짝있고 나름 재미있게 보았습니다
313,8,2017.03.23 07:15,아무생각없이 봤다가. 푹 보고말았다.
314,9,2017.03.23 01:50,로맨틱 + 감동있네요볼만하구요. 잔잔한 행복감을 주는 영화
315,10,2017.03.22 21:17,따뜻한 영화예요!ost도 정말 좋았아요!
316,7,2017.03.22 16:23,"재미와 감동, 그리고 약간의 반전은 있으나 뭔가 2%가 부족하다는 느낌임"
317,10,2017.03.22 09:28,너무나 심쿵하게 만드는 순수한 남주의 대사들!!  오랜만에 기분 좋아지는 로맨스 영화 봤네요~~
318,10,2017.03.21 23:52,"오랫만에 힐링하는영화. 정말 생각해보지못해서 최초의 화성인과 지구인의 만남. 크 캐릭터 개성 또한 아주 뛰어나서 보는 내내 단순 배우들 얼굴만이 아닌 연기력에서 한번 놀라고 특히 영화에 빠져들게 만드는 ost, 풍경들 감탄이 절로나오는영화. "
319,10,2017.03.21 23:37,전반적으로 잘된영화고 볼만했어요. 이제 화성의 왕래는물론 여행이나 거주가 가능한 시대에 살면서 멀지않은 장래에 있을 수 있는 얘기라서 공감하면서 보았고 이해가 잘 되는 내용이었습니다.우주와 지구 환경의 차이를생각하게 하는군요.고화질 고차원적인 내용임 
320,8,2017.03.21 22:32,나름 볼만했던 영화 ^-^
321,10,2017.03.21 21:32,미녀와 야수보다 훨 재밌구만. 사람들은 이걸 왜케 안보지 이해가 안가네. 가장 아름답고 슬픔이 있지만 모두가 해피엔딩한 이런영화 기대않고 봣는데 최고였다.
322,10,2017.03.21 18:08,처음엔 심심한대갈수록 재미지네요
323,9,2017.03.21 16:09,스토리☆☆☆☆  연기력 ☆☆☆☆ 영상미 ☆☆☆☆.☆ 재밋게 봣네요 툴사가 빨리 우주인이 되서 화성으로 날아갔으면~
324,8,2017.03.19 22:44,화성에서만 살다 지구로 온 소년의 모습이 너무 순수하고 아름답고 귀여웠다. 스토리도 좋았고 소년과 소녀의 사랑 이야기도 좋고 장면들도 아름다웠다. 하지만 결말이 아쉬웠던 영화였다.
325,10,2017.03.19 20:42,걍 에이사 하드캐리입니다
326,10,2017.03.19 17:59,영화보는 내내 계속 눈호강 함
327,8,2017.03.19 16:25,풋풋한 틴에이지 로맨스. 조금 부자연스런 부분이 거슬리긴하지만 가볍게 보긴 쏘쏘
328,8,2017.03.19 14:30,"보면서 굳이 필요했나....? 이런 의문이 드는 몇몇 장면들이 있었고, 여주의 나이가 의심되기는 한데 대체적으로 재밌었습니다. 특히 노래를 정말 잘 활용했다고 생각합니다. 큰 기대없이 시간없을때 보기에 좋은 영화인듯 "
329,10,2017.03.19 11:54,노래도좋고 스토리도 좋음 화성에서 자란 아이라니..낭만적이야
330,10,2017.03.19 11:32,순수하고 아름다운 사랑
331,9,2017.03.19 02:44,생각보다 깊이있는 내용이아님....그냥 무난하게 볼수있음!취향은 많이탈수있을뜻
332,10,2017.03.19 02:40,화성인의 순수함. 솔직한 감정 표현. 소녀의 마음을 연다.최고
333,10,2017.03.18 23:29,꼭보세요 전 두번보러 갑니다ㄱㄱ
334,7,2017.03.18 23:07,중고등학생들을 위해 만든 영화를 아재가 봤으니 재미 있을리가 없지.
335,10,2017.03.18 20:17,"어린 에이사의 혼신의 연기,화성도 지구도 모두 아름답다.강추!!!"
336,10,2017.03.18 19:52,영상미가너무이쁨 친구랑편하게앉아서 소설보는느낌
337,9,2017.03.18 18:12,사랑이 주는 따뜻함이 모든 것을 설명할 수 있다.
338,10,2017.03.18 17:09,하이틴로맨스를 보고싶다면...!!영상미도 예뻐요ㅎㅎ
339,10,2017.03.18 15:35,남주가 너무 잘생겼으며 스토리도 감동적이었다
340,10,2017.03.18 12:26,"일단 에이사 너무 잘커서 영화 속에서 세상 사랑스러움, 순수함 다 보여주고 풍경과 오에스티 완전 개꿀이고 에이사 마지막 말 명대사였다 에이사 팬이라면 꼭보세요"
341,10,2017.03.18 10:40,"봄햇살같은 어린청춘의 사랑이야기 .. ""너에게갈께 ""   , 오래전 첫사랑의 두근거렸던  순간이 떠올라  입가에 미소가 지어졌다."
342,10,2017.03.17 18:22,"영상미,내용,연기 다 생각보다 좋았다. 너무 요란하지 않으면, 너무 잔잔하지도 않은게 딱 좋았다."
343,9,2017.03.17 16:21,이유없이 눈물났어요 ㅇㅅㅇ ... 너무 재밌음
344,10,2017.03.17 15:51,남주를 보러가시오♡눈을뗄수가업네
345,10,2017.03.17 11:34,화성소년과 지구소녀가 만나 아름답게 그려진 순수한 감성 로맨스.
346,9,2017.03.17 10:21,전 너무 좋았영상도 스토리도 혼자 조용히 봤는데 너무 좋았습니당
347,10,2017.03.17 04:19,보면서 울었다. 너무  잼있는 성장드라마...
348,10,2017.03.17 02:04,정말 아름다운영화 입니다.
349,10,2017.03.16 13:57,소중한 것을 찾아 떠나는 희망의 여정♡ 정말 재미있고 감동적인 작품이네요 ^^ OST도 완전 대박! 절대 강추입니다♡♡
350,6,2019.07.27 19:36,여주 나이 검색하게 만드는 영화 여주 왜 이렇게 나이 들어 보이는 배우를 캐스팅했는지 주인공 또래에 맞는 10대 여배우를 캐스팅하지
351,9,2019.06.05 08:33,평범함의 소중함을 일깨우는 영화
352,10,2019.05.27 08:14,소재 맘애들고 분위기좋고
353,10,2019.05.05 00:44,좋은 영화는 여운이 남는다는데 이 영화가 그렇네요.
354,10,2019.04.21 21:25,가드너 ㅠㅠ 너의 순수함이 여운을 남기는구나...
355,10,2019.04.21 11:07,재밌게봤다. 화성에서 살수있다는 즐거운 상상과 What is yor favorite in earth? 에 대한 질문도 나에게 해본다. 영화에서는 사랑과 가족이라는거네.
356,10,2019.03.02 00:24,★★★★명작★★★★
357,10,2019.02.19 04:30,가볍게 시간 때우기용으로 보려했는데 의외로 너무 재밌게 잘봤어요~
358,10,2019.02.07 07:01,너무너무 동화같은 이야기. 로맨틱했어.
359,10,2019.01.11 01:00,부담스럽지 않은 우주영화 느낌 ㅎㅎ 주인공들이 너무 잘 어울렸고 중간에 마음을 울리는 몇몇 대사와 장면이 있어서 감동했다 꼭 보길 추천한다
360,6,2018.03.16 02:21,연기 주인공들이 잘해서좋았어용
361,10,2018.03.16 00:46,존잼..에이샤 버터필드는 여전히 잘생겼음 ㅜㅜ..
362,10,2018.03.10 01:04,ㅜㅜㅜ존잼 ㅠㅠ남주진짜존잘이다 SF하이틴영화 ㅋㅋ
363,5,2017.10.12 18:54,주인공은 잘생겼고 내용도 신선해서 이해와 집중은 잘되었지만 전체적으로 보았을때 조금 시시한 영화이다.
364,2,2017.10.04 22:58,영화보는 내내 대책없는 행동에 답답함
365,8,2017.10.01 00:20,대단친 않아도 충분히 볼만했다.
366,10,2017.09.28 13:00,너와 나. 그리고....
367,10,2017.09.02 11:29,취향저격...♡ 멋진 영화였습니다
368,10,2017.08.23 11:23,SF 조아하는 사람이라면   달달한  로맨스를 원한다면 추천 합니다 ^ ^
369,7,2017.07.29 05:18,내용은 볼만하다. 단 툴사랑 가드너 실제 나이차가 7살 차이고 영화속에서는 더 나이차가 들어보여 친구라고 하기엔 좀 몰입이 안되었다. 툴사역에 다코타 패닝이나 페이튼 리스트가 연기했다면 좀 더 낫지 않을까 생각된다. 
370,7,2017.04.30 21:57,I'm your father....마지막 반전이 아닌 막장
371,1,2017.04.26 12:51,"실소가 나오는 쓰레기같은 영화. 개연성도 떨어지고, 설명도 제대로 안되었으며 뭘 보여주고 싶은지 감독도 잘 모르는것 같다. 소재는 흥미로웠음."
372,4,2017.04.09 21:11,ㅎㅣ바ㄹ 아침드라마 찍나요? 개막장이네...
373,6,2017.03.29 11:33,영상미 빼고는 그냥....
374,6,2017.03.28 14:17,영상미만 마음에 들었던 영화... 뒤로갈수록 스토리전개가 뻔해짐...
375,4,2017.03.28 02:31,전형적인 십대 소녀 취향의 화성인 성장담
376,5,2017.03.27 17:00,차라리 멜로 이야기 분량을 더 늘렸어야...
377,7,2017.03.27 11:49,화성소년과 지구소녀의 애틋한 사랑이야기
378,6,2017.03.27 02:00,동화같은 얘기를 듣기엔 내가 너무 늙었나? 지루함이 최대의 걸림돌
379,10,2017.03.26 22:08,"가볍게 볼 수 있는 유치한 멜로영화, 하지만 b급 유치함이 아닌 감성적인 유치함 그래서 죽어가면서도 선택을 내리는 가드너의 모습을 이해하고 응원할 수 있다"
380,7,2017.03.26 16:02,무난하게 볼만하긴 했는데...남주는 소년인데 여주는 이모급임...보니까 실제 나이차도 좀 있네...여주 캐스팅 에바야~ 7점
381,6,2017.03.26 12:26,킬링타임용으로 나쁘지않았다
382,10,2017.03.26 03:38,이정도면 수작인듯..가족영화에 메시지도 좋음..결국은 혼자라고 느낀 사람들이 혼자가 아니라는 사실을 알게되고 새로운 사람을 만나게 되고 그러면서 더불어 살아간다는것을 알게해줌..그게 화성과 지구와 같이 먼거리에 사는 사람들일지라도 제목과 너무 잘어울림 
383,9,2017.03.25 20:21,미국여행 땡기는 영화 (그리고 10땐 눈만 봐도 불타오름) 평론가 여러분도 이제 노인네 인증임
384,2,2017.03.24 22:15,나만 지루한건가 재미가 별루
385,6,2017.03.24 14:20,기대이하...스토리부터해서 제일 실망한건 여주 미드돔에선 매력있어보였ㄲ는데 완전별로
386,3,2017.03.22 19:51,예고안보고 줄거리만읽고갔는데 기대했던sf는 아니였거 그냥 드라마
387,2,2017.03.22 13:34,노잼 평점이 왜이렇게 높은지 노이해
388,9,2017.03.20 20:58,과다행복증.나도 지구에서 비를 좋아해.
389,7,2017.03.20 19:41,The Space Between Us
390,9,2017.03.20 19:41,SF 로맨스 코미디. 살짝 델마와 루이스가 생각나기도 함. 재밋어요. 강추
391,9,2017.03.20 17:24,소재도 특이하고 볼만 했어요~~
392,10,2017.03.20 14:24,썸 타는 15 - 18세 관람불가!! 큰일나요 완전 감성 폭팔이라 ...권태기 결혼5년 차 이상 부부들 꼭 보셔요 ...  참 좋아요너무 큰 기대는 접으시구요...   반전기대!
393,2,2017.03.19 10:56,12세 이용가는 역시 12세 이용가네요..
394,9,2017.03.18 22:00,내용이좋고 재미있네요
395,8,2017.03.17 07:59,"훌륭한 영상미, 지독한 순애보 좋다. 하지만 여러영화를 하나로 본듯한 느낌은 좀 불쾌하다"
396,10,2017.03.16 22:03,인생영화...감동도있고 너무 재미있다.
397,10,2017.03.16 21:27,최고 최고  영화 입니다  꼭  보세요 후회 안합니다  진짜  넘  좋아요  감동  사랑  기타등등  넘  좋아요  시나리오  잘  듣고  영화 보세요  넘  좋아요  최고 입니다
398,9,2017.03.16 20:15,영상도 예쁘고 마지막에 나오는 노래 좋음!
399,10,2017.03.16 20:04,"보는 내내 행복하고 기분 좋은 영화. 잔잔한 감동과 소소한 행복, 아름다운 지구와 우주. 감미로운 음악까지. 영화관에서 처음으로 두 번 본 영화."
400,10,2017.03.16 13:49,"우주판 하이틴 로맨스인가, 이거 ㅠㅠㅜ 너무 달달하고 사랑스럽고 아름답다. 마지막에 조금 읭스러운 부분이 있긴 했지만 에이사만으로도 충분히 10점 받을만 함!"
401,10,2018.03.16 02:19,"눈물  주룩주룩 , 꼭봐요"
402,10,2018.03.16 02:17,눈살 찌푸리는 장면없는 예쁜 영화네요
403,5,2017.03.20 19:46,그냥 그랬습니다 여주는 귀엽고 매력있네요ㅋㅋㅋ
404,1,2017.03.18 21:00,어이없고 유치한 영화. 니켈로디언 어린이 드라마도 아니고..소재는 신선했으나 뭘 말하고 싶었던 건지 모르겠다.
405,1,2017.03.18 16:32,난 니들 안믿어. 니들 믿고 보면 실망할거거든
406,5,2017.03.16 00:57,어중간한 멜로... 어중간한 드라마...
407,9,2019.06.13 19:12,마치 내가 멋진 모험을 한 것 같은 영화.
408,10,2019.06.01 01:48,에이사 버터필드 잘생겼고 소재 신박해서 재밌게봤어요!
409,10,2019.04.14 17:04,아..눈물이 왜 계속나는지ㅜ... 영화이면서도.. 참 가슴아프고 묘하네요ㅜ
410,10,2019.01.13 00:27,"해피앤딩같은 새드앤딩이네요 ㅠ, 중간 이후 스토리르 조금만 더 다듬었으면 AI급 SF,드라미 장르가 나올수 있었을텐데 아쉽네요"
411,1,2018.11.11 04:23,저 남자랑 여자가 경비행기 몰다가 집 폭파시켜버리는데 집에 사람살았다면 살인자인데 너무 그냥 넘어가네. 살인미수인데
412,8,2018.08.27 02:51,여주만 좀 나이때에 맞는 배우를 썼으면 좋았을텐데 그게 너무 아쉽다 27살에 동안도 아닌데 도대체 왜 캐스팅 했을까
413,6,2018.03.16 01:35,Bd웡 누구 닮았는데jQuery22409943360381263135_1521131650993
414,6,2018.01.31 01:36,"소년용 무비처럼 보이나, 주제 이것인지 저것인지 뭘 말하고 싶은건지 그냥 화성은 배경일 뿐인건지. 그렇다고 주인공 심리를 대변하는 그 무엇도 없다. 중2병영화라 그런가? 성인은 이해 불가능..."
415,8,2017.11.01 01:23,다스베이다가 말했다  '아임 유어 파더'
416,3,2017.10.18 20:35,역시 평점이 균등한 것에는 이유가 있다.
